Player,Squad,Pos,Nation,Age,Min,90s,npxG,Gls,Ast,Sh,SoT,SCA,GCA,PrgP,PrgC,KP,Succ,Crs,Pass_Short_Cmp,Pass_Med_Cmp,Pass_Long_Cmp,Tkl,TklW,Int,Blocks,Clr,Recov,Won%,market_value_in_eur
Tyrique George,Chelsea,FW,eng ENG,18.0,183,2.0,0.2,1,1,1.5,0.5,3.5,0.5,3,9,3.0,1.5,1.5,12.0,8.0,0.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,3500000.0
Yannick Gerhardt,Wolfsburg,"MF,DF",de GER,30.0,1518,16.9,1.2,1,1,0.89,0.24,1.72,0.12,57,27,0.24,0.06,1.42,15.8,12.2,1.36,1.66,0.95,1.01,1.12,2.78,2.9,42.0,3000000.0
Max Geschwill,Holstein Kiel,DF,de GER,23.0,1282,14.2,0.9,1,2,0.63,0.14,1.69,0.14,58,6,0.7,0.14,0.7,12.5,18.2,4.08,1.83,1.48,2.11,1.27,3.73,3.73,40.0,1500000.0
Daniele Ghilardi,Hellas Verona,DF,it ITA,21.0,2029,22.5,0.6,0,0,0.53,0.18,0.71,0.04,57,16,0.27,0.09,0.44,9.91,15.0,3.11,1.96,1.29,1.33,0.44,4.71,2.44,50.0,4000000.0
Lautaro Gianetti,Udinese,DF,ar ARG,30.0,878,9.8,0.0,1,0,0.2,0.2,0.41,0.0,19,0,0.2,0.0,0.0,10.9,17.4,3.16,2.24,1.02,1.53,0.1,5.0,2.86,71.4,
Dimitris Giannoulis,Augsburg,DF,gr GRE,28.0,2650,29.4,1.1,1,4,0.44,0.14,2.59,0.2,104,60,1.43,0.99,4.08,18.1,15.2,2.76,1.6,1.09,1.6,1.84,2.55,4.63,28.1,
Morgan Gibbs-White,Nott'ham Forest,MF,eng ENG,24.0,2803,31.1,6.3,7,8,1.96,0.68,3.7,0.61,164,69,1.64,1.0,1.45,17.4,10.8,2.35,1.38,0.71,0.74,0.87,0.93,4.08,42.1,50000000.0
Samuel Gigot,Lazio,DF,fr FRA,30.0,683,7.6,1.3,2,0,0.53,0.39,0.79,0.13,12,7,0.0,0.13,0.0,15.7,20.0,1.45,0.53,0.39,1.71,0.26,4.74,1.97,78.3,4000000.0
Armin Gigovic,Holstein Kiel,MF,ba BIH,22.0,1895,21.1,1.9,5,1,1.23,0.47,1.85,0.33,50,37,0.76,0.95,0.66,12.5,10.4,1.28,1.18,0.62,1.0,0.62,1.56,5.55,48.6,3000000.0
Bryan Gil,Girona,"FW,MF",es ESP,23.0,1721,19.1,2.3,3,3,1.68,0.79,2.93,0.26,74,76,1.1,2.15,4.08,19.9,10.4,1.2,1.78,1.05,0.52,1.2,0.47,4.08,0.0,15000000.0
Mario Gila,Lazio,DF,es ESP,23.0,2741,30.5,1.1,1,0,0.49,0.13,1.25,0.03,157,48,0.49,0.13,0.2,19.7,34.0,7.18,1.8,1.21,0.92,0.36,3.77,5.02,51.6,28000000.0
Billy Gilmour,Brighton,MF,sct SCO,23.0,98,1.1,0.1,0,0,0.91,0.0,2.73,0.0,11,2,0.0,0.91,0.91,32.7,16.4,3.64,2.73,2.73,0.0,0.0,0.91,4.55,,16000000.0
Billy Gilmour,Napoli,MF,sct SCO,23.0,1177,13.1,0.5,0,1,0.69,0.08,3.05,0.31,67,11,1.6,0.38,1.37,25.3,29.2,5.42,1.83,1.22,0.69,0.38,1.76,4.89,47.4,16000000.0
Benedikt Gimber,Heidenheim,DF,de GER,27.0,2671,29.7,0.7,0,0,0.47,0.03,0.51,0.03,46,7,0.1,0.27,0.1,8.75,22.5,4.18,2.42,1.55,1.04,0.54,4.41,3.3,55.9,3000000.0
Santiago Giménez,Milan,FW,mx MEX,23.0,669,7.4,4.0,5,2,2.97,1.22,2.16,0.54,6,13,0.81,0.95,0.27,6.35,2.97,0.0,0.68,0.41,0.14,0.27,1.76,1.89,38.9,
Gvidas Gineitis,Torino,MF,lt LTU,20.0,1430,15.9,1.3,3,1,1.82,0.5,2.45,0.13,36,15,1.32,0.5,3.21,13.0,9.37,2.08,1.57,0.94,1.13,1.64,2.01,3.58,43.8,5000000.0
Matthias Ginter,Freiburg,DF,de GER,30.0,2561,28.5,2.8,2,1,0.84,0.14,0.95,0.14,113,11,0.32,0.14,0.46,15.4,24.1,4.18,1.05,0.6,0.67,0.35,5.12,3.26,61.6,8000000.0
